customer_id,sum_amt_txn_ann_2011,mean_amt_txn_ann_2011,std_amt_txn_ann_2011,var_amt_txn_ann_2011,sem_amt_txn_ann_2011,max_amt_txn_ann_2011,min_amt_txn_ann_2011,count_amt_txn_ann_2011,sum_amt_txn_ann_2012,mean_amt_txn_ann_2012,std_amt_txn_ann_2012,var_amt_txn_ann_2012,sem_amt_txn_ann_2012,max_amt_txn_ann_2012,min_amt_txn_ann_2012,count_amt_txn_ann_2012,sum_amt_txn_ann_2013,mean_amt_txn_ann_2013,std_amt_txn_ann_2013,var_amt_txn_ann_2013,sem_amt_txn_ann_2013,max_amt_txn_ann_2013,min_amt_txn_ann_2013,count_amt_txn_ann_2013,sum_amt_txn_ann_2014,mean_amt_txn_ann_2014,std_amt_txn_ann_2014,var_amt_txn_ann_2014,sem_amt_txn_ann_2014,max_amt_txn_ann_2014,min_amt_txn_ann_2014,count_amt_txn_ann_2014,sum_amt_txn_ann_2015,mean_amt_txn_ann_2015,std_amt_txn_ann_2015,var_amt_txn_ann_2015,sem_amt_txn_ann_2015,max_amt_txn_ann_2015,min_amt_txn_ann_2015,count_amt_txn_ann_2015
CS1112,212,70.66666666666667,22.03028218914441,485.33333333333337,12.719189352225943,96,56,3,337,67.4,12.720062892926277,161.8,5.688585061331157,81,52,5,212,70.66666666666667,34.50120770833006,1190.3333333333333,19.91928155777155,105,36,3,212,70.66666666666667,16.862186493255653,284.33333333333337,9.735387911006823,90,59,3,39,39.0,0.0,0.0,0.0,39,39,1
CS1113,244,81.33333333333333,21.07921567168317,444.33333333333337,12.170090842352456,94,57,3,374,74.8,17.035257556021865,290.20000000000005,7.618398781896364,95,51,5,426,85.2,13.0843417870369,171.2,5.851495535331117,97,65,5,226,56.5,27.958302285129307,781.6666666666666,13.979151142564653,97,36,4,220,73.33333333333333,27.300793639257694,745.3333333333334,15.762120556715853,98,44,3
CS1114,426,85.2,9.731392500562293,94.70000000000003,4.352011029397789,97,76,5,150,75.0,31.11269837220809,968.0,21.999999999999996,97,53,2,352,70.4,24.88573888796553,619.3,11.129240764760189,105,43,5,425,70.83333333333333,26.947479783212874,726.1666666666666,11.001262553806166,95,37,6,79,79.0,0.0,0.0,0.0,79,79,1
CS1115,261,87.0,15.0,225.0,8.660254037844387,102,72,3,473,67.57142857142857,21.846869667888676,477.2857142857143,8.257340580924813,104,41,7,557,79.57142857142857,10.533393610436333,110.95238095238098,3.9812485649673297,94,66,7,313,78.25,22.632940595512547,512.2499999999999,11.316470297756274,98,50,4,55,55.0,0.0,0.0,0.0,55,55,1
CS1116,235,58.75,21.203380233664003,449.5833333333333,10.601690116832001,87,41,4,230,76.66666666666667,30.138568866708543,908.3333333333334,17.400510848184254,105,45,3,59,59.0,0.0,0.0,0.0,59,59,1,333,66.6,25.234896472940004,636.8,11.285388783732706,96,40,5,0,0.0,0.0,0.0,0.0,0,0,0
CS1117,213,71.0,26.057628441590765,679.0,15.044378795195678,98,46,3,196,65.33333333333333,32.715949219506584,1070.3333333333335,18.888562088676252,100,35,3,347,69.4,17.38677658451963,302.30000000000007,7.775602870517502,94,49,5,429,71.5,15.871357849913158,251.9,6.47945470956726,94,56,6,0,0.0,0.0,0.0,0.0,0,0,0
CS1118,124,62.0,26.870057685088806,722.0,19.0,81,43,2,63,63.0,0.0,0.0,0.0,63,63,1,144,72.0,7.0710678118654755,50.0,5.0,77,67,2,620,68.88888888888889,23.5661008890124,555.3611111111111,7.855366963004133,101,41,9,60,60.0,0.0,0.0,0.0,60,60,1
CS1119,0,0.0,0.0,0.0,0.0,0,0,0,411,82.2,27.30750812505601,745.7,12.212288892750612,102,35,5,239,79.66666666666667,26.85764943797825,721.3333333333334,15.506271132817345,99,49,3,449,74.83333333333333,21.5445275340785,464.16666666666663,8.795516534639175,93,36,6,59,59.0,0.0,0.0,0.0,59,59,1
CS1120,410,82.0,22.561028345356956,509.0,10.08959860450355,105,53,5,352,70.4,19.37266114915553,375.3,8.663717446916191,96,50,5,508,72.57142857142857,23.387013083170345,546.9523809523808,8.839460075240382,100,45,7,75,75.0,0.0,0.0,0.0,75,75,1,332,55.333333333333336,15.819818793736758,250.2666666666667,6.458413977991124,84,41,6
CS1121,288,72.0,32.03123475609393,1026.0,16.015617378046965,102,40,4,613,61.3,22.652201266592662,513.1222222222223,7.163255001898384,104,35,10,283,56.6,20.971409108593537,439.8,9.378699270154684,88,38,5,303,50.5,12.973048986263793,168.30000000000004,5.296225070746145,73,38,6,37,37.0,0.0,0.0,0.0,37,37,1
